total fitness: 1.9980, overhead fitness: 0.5000, acc fitness: 0.9980
total fitness: 2.1848, overhead fitness: 0.6014, acc fitness: 0.9820
total fitness: 2.2330, overhead fitness: 0.9955, acc fitness: 0.2420
total fitness: 2.2840, overhead fitness: 1.0000, acc fitness: 0.2840
total fitness: 2.2500, overhead fitness: 0.9750, acc fitness: 0.3000
total fitness: 1.9780, overhead fitness: 0.5000, acc fitness: 0.9780
total fitness: 2.1518, overhead fitness: 0.5829, acc fitness: 0.9860
total fitness: 1.9940, overhead fitness: 0.5000, acc fitness: 0.9940
total fitness: 2.1034, overhead fitness: 0.5597, acc fitness: 0.9840
total fitness: 2.0003, overhead fitness: 0.5031, acc fitness: 0.9940
total fitness: 1.9940, overhead fitness: 0.5000, acc fitness: 0.9940
total fitness: 1.9843, overhead fitness: 0.5001, acc fitness: 0.9840
total fitness: 2.5231, overhead fitness: 0.8596, acc fitness: 0.8040
total fitness: 1.9880, overhead fitness: 0.5000, acc fitness: 0.9880
total fitness: 2.3673, overhead fitness: 0.6906, acc fitness: 0.9860
total fitness: 2.5070, overhead fitness: 0.9555, acc fitness: 0.5960
total fitness: 1.9920, overhead fitness: 0.5000, acc fitness: 0.9920
total fitness: 2.3613, overhead fitness: 0.6906, acc fitness: 0.9800
total fitness: 2.2869, overhead fitness: 0.9984, acc fitness: 0.2900
total fitness: 1.9940, overhead fitness: 0.5000, acc fitness: 0.9940
total fitness: 1.9940, overhead fitness: 0.5000, acc fitness: 0.9940
total fitness: 1.9920, overhead fitness: 0.5000, acc fitness: 0.9920
total fitness: 2.0131, overhead fitness: 0.5095, acc fitness: 0.9940
total fitness: 2.2078, overhead fitness: 0.9859, acc fitness: 0.2360
total fitness: 2.5645, overhead fitness: 0.8342, acc fitness: 0.8960
total fitness: 2.2840, overhead fitness: 1.0000, acc fitness: 0.2840
total fitness: 2.4400, overhead fitness: 0.7920, acc fitness: 0.8560
total fitness: 2.2877, overhead fitness: 0.9998, acc fitness: 0.2880
total fitness: 1.9940, overhead fitness: 0.5000, acc fitness: 0.9940
total fitness: 2.3927, overhead fitness: 0.7014, acc fitness: 0.9900
total fitness: 2.2273, overhead fitness: 0.9837, acc fitness: 0.2600
total fitness: 2.2035, overhead fitness: 0.9617, acc fitness: 0.2800
total fitness: 2.5273, overhead fitness: 0.8567, acc fitness: 0.8140
BEST OF GEN 1: test overhead = 0.1730, test acc = 0.0284
GEN 1: best fitness = 2.6341 (took 509.05 sec)
total fitness: 2.0044, overhead fitness: 0.5092, acc fitness: 0.9860
total fitness: 2.5957, overhead fitness: 0.8198, acc fitness: 0.9560
total fitness: 1.9886, overhead fitness: 0.5003, acc fitness: 0.9880
total fitness: 1.9880, overhead fitness: 0.5000, acc fitness: 0.9880
total fitness: 2.5717, overhead fitness: 0.8448, acc fitness: 0.8820
total fitness: 1.9880, overhead fitness: 0.5000, acc fitness: 0.9880
total fitness: 2.1095, overhead fitness: 0.5648, acc fitness: 0.9800
total fitness: 2.2712, overhead fitness: 0.9996, acc fitness: 0.2720
total fitness: 2.5753, overhead fitness: 0.8047, acc fitness: 0.9660
total fitness: 2.3912, overhead fitness: 0.8456, acc fitness: 0.7000
total fitness: 2.5390, overhead fitness: 0.7835, acc fitness: 0.9720
total fitness: 2.2346, overhead fitness: 0.6423, acc fitness: 0.9500
total fitness: 2.0036, overhead fitness: 0.5288, acc fitness: 0.9460
total fitness: 1.9761, overhead fitness: 0.5001, acc fitness: 0.9760
total fitness: 1.9859, overhead fitness: 0.5009, acc fitness: 0.9840
