total fitness: 1.9962, overhead fitness: 0.5011, acc fitness: 0.9940
total fitness: 2.5999, overhead fitness: 0.9779, acc fitness: 0.6440
total fitness: 2.0996, overhead fitness: 0.5538, acc fitness: 0.9920
total fitness: 2.0437, overhead fitness: 0.5229, acc fitness: 0.9980
total fitness: 2.2752, overhead fitness: 0.8636, acc fitness: 0.5480
total fitness: 2.6325, overhead fitness: 0.9813, acc fitness: 0.6700
total fitness: 2.1320, overhead fitness: 0.8260, acc fitness: 0.4800
total fitness: 1.9840, overhead fitness: 0.5000, acc fitness: 0.9840
total fitness: 2.5968, overhead fitness: 0.8014, acc fitness: 0.9940
total fitness: 1.9840, overhead fitness: 0.5000, acc fitness: 0.9840
total fitness: 1.9950, overhead fitness: 0.5055, acc fitness: 0.9840
total fitness: 2.0413, overhead fitness: 0.5287, acc fitness: 0.9840
total fitness: 2.4492, overhead fitness: 0.9926, acc fitness: 0.4640
total fitness: 2.0582, overhead fitness: 0.5321, acc fitness: 0.9940
total fitness: 2.2747, overhead fitness: 0.8573, acc fitness: 0.5600
total fitness: 2.6448, overhead fitness: 0.9894, acc fitness: 0.6660
total fitness: 2.6917, overhead fitness: 0.8598, acc fitness: 0.9720
total fitness: 2.6983, overhead fitness: 0.9852, acc fitness: 0.7280
total fitness: 1.9840, overhead fitness: 0.5000, acc fitness: 0.9840
total fitness: 2.6916, overhead fitness: 0.8558, acc fitness: 0.9800
total fitness: 2.3479, overhead fitness: 0.9839, acc fitness: 0.3800
total fitness: 2.5690, overhead fitness: 0.8255, acc fitness: 0.9180
total fitness: 1.9888, overhead fitness: 0.5004, acc fitness: 0.9880
total fitness: 2.3578, overhead fitness: 0.9829, acc fitness: 0.3920
total fitness: 2.6459, overhead fitness: 0.8270, acc fitness: 0.9920
total fitness: 2.3199, overhead fitness: 0.7539, acc fitness: 0.8120
total fitness: 2.6486, overhead fitness: 0.8293, acc fitness: 0.9900
total fitness: 2.0359, overhead fitness: 0.5219, acc fitness: 0.9920
total fitness: 1.9840, overhead fitness: 0.5000, acc fitness: 0.9840
total fitness: 2.6295, overhead fitness: 0.8227, acc fitness: 0.9840
total fitness: 2.8136, overhead fitness: 0.9698, acc fitness: 0.8740
BEST OF GEN 1: test overhead = 0.0351, test acc = 0.0856
GEN 1: best fitness = 2.8370 (took 343.57 sec)
total fitness: 2.8536, overhead fitness: 0.9598, acc fitness: 0.9340
total fitness: 2.6111, overhead fitness: 0.8556, acc fitness: 0.9000
total fitness: 2.8487, overhead fitness: 0.9643, acc fitness: 0.9200
total fitness: 2.6329, overhead fitness: 0.8245, acc fitness: 0.9840
total fitness: 2.8547, overhead fitness: 0.9634, acc fitness: 0.9280
total fitness: 2.8532, overhead fitness: 0.9646, acc fitness: 0.9240
total fitness: 2.5827, overhead fitness: 0.9624, acc fitness: 0.6580
total fitness: 2.7655, overhead fitness: 0.9808, acc fitness: 0.8040
total fitness: 2.6854, overhead fitness: 0.8577, acc fitness: 0.9700
total fitness: 2.7793, overhead fitness: 0.9797, acc fitness: 0.8200
total fitness: 2.8571, overhead fitness: 0.9646, acc fitness: 0.9280
total fitness: 2.6467, overhead fitness: 0.8314, acc fitness: 0.9840
total fitness: 2.7019, overhead fitness: 0.9869, acc fitness: 0.7280
total fitness: 2.8433, overhead fitness: 0.9666, acc fitness: 0.9100
total fitness: 2.8483, overhead fitness: 0.9581, acc fitness: 0.9320
total fitness: 2.8326, overhead fitness: 0.9333, acc fitness: 0.9660
total fitness: 2.7087, overhead fitness: 0.9863, acc fitness: 0.7360
total fitness: 2.6836, overhead fitness: 0.8558, acc fitness: 0.9720
total fitness: 2.6795, overhead fitness: 0.8528, acc fitness: 0.9740
total fitness: 2.6582, overhead fitness: 0.8351, acc fitness: 0.9880
total fitness: 2.7641, overhead fitness: 0.9820, acc fitness: 0.8000
total fitness: 2.8067, overhead fitness: 0.9373, acc fitness: 0.9320
total fitness: 2.8538, overhead fitness: 0.9639, acc fitness: 0.9260
total fitness: 2.7882, overhead fitness: 0.9781, acc fitness: 0.8320
total fitness: 2.8518, overhead fitness: 0.9599, acc fitness: 0.9320
total fitness: 2.7127, overhead fitness: 0.9864, acc fitness: 0.7400
total fitness: 2.8434, overhead fitness: 0.9657, acc fitness: 0.9120
total fitness: 2.2269, overhead fitness: 0.8244, acc fitness: 0.5780
total fitness: 2.8165, overhead fitness: 0.9453, acc fitness: 0.9260
total fitness: 2.5432, overhead fitness: 0.9736, acc fitness: 0.5960
total fitness: 2.6865, overhead fitness: 0.9882, acc fitness: 0.7100
total fitness: 2.8583, overhead fitness: 0.9631, acc fitness: 0.9320
total fitness: 2.5898, overhead fitness: 0.7989, acc fitness: 0.9920
total fitness: 2.7913, overhead fitness: 0.9787, acc fitness: 0.8340
total fitness: 2.8082, overhead fitness: 0.9771, acc fitness: 0.8540
total fitness: 2.8554, overhead fitness: 0.9647, acc fitness: 0.9260
total fitness: 2.8501, overhead fitness: 0.9641, acc fitness: 0.9220
total fitness: 2.6252, overhead fitness: 0.9646, acc fitness: 0.6960
total fitness: 2.2042, overhead fitness: 0.8601, acc fitness: 0.4840
total fitness: 2.8132, overhead fitness: 0.9686, acc fitness: 0.8760
total fitness: 2.7490, overhead fitness: 0.9835, acc fitness: 0.7820
total fitness: 2.6381, overhead fitness: 0.8240, acc fitness: 0.9900
total fitness: 2.6954, overhead fitness: 0.9767, acc fitness: 0.7420
total fitness: 2.8433, overhead fitness: 0.9637, acc fitness: 0.9160
total fitness: 2.8489, overhead fitness: 0.9644, acc fitness: 0.9200
total fitness: 2.4787, overhead fitness: 0.9623, acc fitness: 0.5540
total fitness: 2.7730, overhead fitness: 0.9755, acc fitness: 0.8220
total fitness: 2.5551, overhead fitness: 0.9985, acc fitness: 0.5580
total fitness: 2.7669, overhead fitness: 0.9795, acc fitness: 0.8080
total fitness: 2.8550, overhead fitness: 0.9605, acc fitness: 0.9340
total fitness: 2.3611, overhead fitness: 0.9865, acc fitness: 0.3880
total fitness: 2.5383, overhead fitness: 0.9422, acc fitness: 0.6540
total fitness: 2.3354, overhead fitness: 0.9777, acc fitness: 0.3800
total fitness: 2.3278, overhead fitness: 0.9759, acc fitness: 0.3760
total fitness: 2.6337, overhead fitness: 0.8238, acc fitness: 0.9860
total fitness: 2.7940, overhead fitness: 0.9780, acc fitness: 0.8380
total fitness: 2.3088, overhead fitness: 0.9634, acc fitness: 0.3820
total fitness: 2.6323, overhead fitness: 0.8252, acc fitness: 0.9820
total fitness: 2.8476, overhead fitness: 0.9648, acc fitness: 0.9180
total fitness: 2.7631, overhead fitness: 0.9456, acc fitness: 0.8720
total fitness: 2.8308, overhead fitness: 0.9334, acc fitness: 0.9640
total fitness: 2.8383, overhead fitness: 0.9362, acc fitness: 0.9660
total fitness: 2.7673, overhead fitness: 0.9807, acc fitness: 0.8060
total fitness: 2.6909, overhead fitness: 0.8615, acc fitness: 0.9680
total fitness: 2.5890, overhead fitness: 0.9955, acc fitness: 0.5980
total fitness: 2.3751, overhead fitness: 0.9876, acc fitness: 0.4000
total fitness: 2.8391, overhead fitness: 0.9365, acc fitness: 0.9660
total fitness: 2.8479, overhead fitness: 0.9579, acc fitness: 0.9320
total fitness: 2.8366, overhead fitness: 0.9663, acc fitness: 0.9040
total fitness: 2.8500, overhead fitness: 0.9640, acc fitness: 0.9220
total fitness: 2.6440, overhead fitness: 0.8300, acc fitness: 0.9840
total fitness: 2.6233, overhead fitness: 0.8177, acc fitness: 0.9880
total fitness: 2.6809, overhead fitness: 0.8554, acc fitness: 0.9700
total fitness: 2.7898, overhead fitness: 0.9779, acc fitness: 0.8340
total fitness: 2.6511, overhead fitness: 0.8335, acc fitness: 0.9840
total fitness: 2.8260, overhead fitness: 0.9310, acc fitness: 0.9640
total fitness: 2.6532, overhead fitness: 0.8356, acc fitness: 0.9820
total fitness: 2.8548, overhead fitness: 0.9634, acc fitness: 0.9280
total fitness: 2.1447, overhead fitness: 0.5734, acc fitness: 0.9980
total fitness: 2.7677, overhead fitness: 0.9818, acc fitness: 0.8040
total fitness: 2.6473, overhead fitness: 0.9896, acc fitness: 0.6680
total fitness: 2.6378, overhead fitness: 0.8279, acc fitness: 0.9820
total fitness: 2.8474, overhead fitness: 0.9637, acc fitness: 0.9200
total fitness: 2.2821, overhead fitness: 0.8261, acc fitness: 0.6300
total fitness: 2.7543, overhead fitness: 0.9782, acc fitness: 0.7980
total fitness: 2.6855, overhead fitness: 0.8578, acc fitness: 0.9700
total fitness: 2.8419, overhead fitness: 0.9659, acc fitness: 0.9100
total fitness: 2.6139, overhead fitness: 0.8120, acc fitness: 0.9900
total fitness: 2.8478, overhead fitness: 0.9649, acc fitness: 0.9180
total fitness: 2.8160, overhead fitness: 0.9430, acc fitness: 0.9300
total fitness: 2.8218, overhead fitness: 0.9319, acc fitness: 0.9580
total fitness: 2.6351, overhead fitness: 0.8265, acc fitness: 0.9820
total fitness: 2.7141, overhead fitness: 0.9840, acc fitness: 0.7460
total fitness: 2.7269, overhead fitness: 0.9854, acc fitness: 0.7560
total fitness: 2.2969, overhead fitness: 0.8554, acc fitness: 0.5860
total fitness: 2.6536, overhead fitness: 0.8348, acc fitness: 0.9840
